kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
addusxx_g,BaO_nat002,64000,18643,16,1,0.725000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,2,0.743000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,3,0.712000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,4,0.726000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,5,0.712000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,6,0.706000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,7,0.707000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,8,0.703000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,9,0.707000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,10,0.705000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,11,0.709000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,12,0.703000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,13,0.727000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,14,0.815000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,15,0.712000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,16,0.704000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,17,0.703000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,18,0.704000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,19,0.712000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,0,0.437000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,1,0.439000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,2,0.458000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,3,0.435000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,4,0.475000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,5,0.427000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,6,0.499000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,7,0.428000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,8,0.427000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,9,0.428000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,10,0.431000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,11,0.430000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,12,0.430000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,13,0.425000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,14,0.429000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,15,0.431000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,16,0.426000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,17,0.452000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,18,0.430000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,32,19,0.424000,set0,flang-openmp,mimalloc,1
