kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,8,1,8.392000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,2,8.441000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,3,8.490000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,4,8.420000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,5,8.339000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,6,8.517000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,7,8.501000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,8,8.473000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,9,8.312000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,10,8.417000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,11,8.481000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,12,8.573000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,13,8.341000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,14,8.287000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,15,8.330000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,16,8.269000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,17,8.288000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,18,8.441000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,19,8.410000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,0,8.581000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,1,8.653000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,2,8.500000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,3,8.616000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,4,8.561000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,5,8.452000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,6,8.516000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,7,8.496000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,8,8.467000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,9,8.471000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,10,8.504000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,11,8.413000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,12,8.497000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,13,8.467000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,14,8.485000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,15,8.505000,set0,flang-openmp,mimalloc
